Liga,Clube,Nome,Posição,Valor,URL
England,AFC Bournemouth,Adam Smith,Right-Back,750000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Adrien Truffert,Left-Back,1500000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Alex Scott,Central Midfield,2000000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Amine Adli,Left Winger,1800000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Antoine Semenyo,Right Winger,4000000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Bafodé Diakité,Centre-Back,2800000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Ben Doak,Right Winger,1400000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Callan McKenna,Goalkeeper,600000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,David Brooks,Right Winger,1000000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Djordje Petrovic,Goalkeeper,2000000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Eli Kroupi,Centre-Forward,1500000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Enes Ünal,Centre-Forward,1000000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Evanilson,Centre-Forward,3500000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,James Hill,Centre-Back,300000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Julio Soler,Left-Back,800000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Julián Araujo,Right-Back,1000000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Justin Kluivert,Attacking Midfield,3500000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Lewis Cook,Central Midfield,1500000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Marcos Senesi,Centre-Back,2200000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Marcus Tavernier,Left Midfield,1800000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Matai Akinmboni,Centre-Back,100000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Remy Rees-Dottin,Centre-Forward,300000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Ryan Christie,Central Midfield,1000000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Tyler Adams,Defensive Midfield,1800000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Veljko Milosavljevic,Centre-Back,100000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Will Dennis,Goalkeeper,350000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,AFC Bournemouth,Álex Jiménez,Right-Back,1500000000,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2025
England,Arsenal FC,Ben White,Right-Back,4500000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Bukayo Saka,Right Winger,15000000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Christian Nørgaard,Defensive Midfield,1100000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Cristhian Mosquera,Centre-Back,3000000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,David Raya,Goalkeeper,4000000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Declan Rice,Central Midfield,12000000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Eberechi Eze,Attacking Midfield,5500000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Ethan Nwaneri,Attacking Midfield,5500000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Gabriel Jesus,Centre-Forward,3200000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Gabriel Magalhães,Centre-Back,7500000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Gabriel Martinelli,Left Winger,5500000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Jurriën Timber,Right-Back,5500000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Kai Havertz,Centre-Forward,6500000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Kepa Arrizabalaga,Goalkeeper,1000000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Leandro Trossard,Left Winger,2200000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Martin Ødegaard,Attacking Midfield,8500000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Martín Zubimendi,Defensive Midfield,6000000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Mikel Merino,Central Midfield,3500000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Myles Lewis-Skelly,Left-Back,4500000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Noni Madueke,Right Winger,4000000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Piero Hincapié,Centre-Back,5000000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Riccardo Calafiori,Left-Back,3500000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,Viktor Gyökeres,Centre-Forward,7500000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Arsenal FC,William Saliba,Centre-Back,8000000000,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2025
England,Aston Villa,Amadou Onana,Defensive Midfield,5000000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Andrés García,Right-Back,700000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Boubacar Kamara,Defensive Midfield,4000000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Donyell Malen,Right Winger,2500000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Emiliano Buendía,Attacking Midfield,1500000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Emiliano Martínez,Goalkeeper,2000000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Evann Guessand,Centre-Forward,2500000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Ezri Konsa,Centre-Back,3500000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Harvey Elliott,Attacking Midfield,3000000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Ian Maatsen,Left-Back,2800000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Jadon Sancho,Left Winger,2800000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,John McGinn,Central Midfield,1600000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Lamare Bogarde,Centre-Back,600000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Lucas Digne,Left-Back,1000000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Marco Bizot,Goalkeeper,300000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Matty Cash,Right-Back,2500000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Morgan Rogers,Attacking Midfield,5500000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Ollie Watkins,Centre-Forward,4000000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Pau Torres,Centre-Back,3200000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Ross Barkley,Central Midfield,600000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Tyrone Mings,Centre-Back,500000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Victor Lindelöf,Centre-Back,800000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Aston Villa,Youri Tielemans,Central Midfield,3800000000,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2025
England,Brentford FC,Aaron Hickey,Right-Back,1000000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Antoni Milambo,Attacking Midfield,1800000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Caoimhín Kelleher,Goalkeeper,2000000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Dango Ouattara,Left Winger,2800000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Ellery Balcombe,Goalkeeper,400000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Ethan Pinnock,Centre-Back,700000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Frank Onyeka,Central Midfield,700000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Fábio Carvalho,Attacking Midfield,1400000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Gustavo Nunes,Left Winger,1000000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Hákon Valdimarsson,Goalkeeper,250000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Igor Thiago,Centre-Forward,1800000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Jordan Henderson,Defensive Midfield,250000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Keane Lewis-Potter,Left Winger,2300000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Kevin Schade,Left Winger,3000000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
England,Brentford FC,Kristoffer Ajer,Centre-Back,1800000000,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2025
